 Date = 2010.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -80.000  300.000   20.79  -68.59   13885   12980    4929  -35414   38039
  -80.000  305.000   17.06  -68.38   13912   13300    4082  -35106   37762
  -80.000  310.000   13.33  -68.21   13927   13552    3211  -34832   37513
  -80.000  315.000    9.60  -68.07   13931   13735    2323  -34595   37294
  -80.000  320.000    5.87  -67.96   13925   13852    1423  -34395   37106
  -80.000  325.000    2.12  -67.88   13911   13902     516  -34233   36952
  -80.000  330.000   -1.63  -67.84   13892   13886    -395  -34111   36831
  -80.000  335.000   -5.40  -67.83   13867   13805   -1306  -34030   36747
  -80.000  340.000   -9.20  -67.85   13838   13660   -2213  -33990   36699
  -80.000  345.000  -13.03  -67.90   13805   13450   -3112  -33993   36690
  -80.000  350.000  -16.89  -67.98   13769   13175   -3999  -34039   36719
  -80.000  355.000  -20.78  -68.09   13729   12836   -4872  -34129   36787
  -75.000    0.000  -22.83  -65.72   13932   12841   -5406  -30887   33884
  -75.000    5.000  -26.46  -65.94   13898   12442   -6193  -31125   34087
  -75.000   10.000  -30.16  -66.19   13865   11988   -6966  -31427   34349
  -75.000   15.000  -33.92  -66.49   13830   11476   -7719  -31794   34672
  -75.000   20.000  -37.76  -66.83   13790   10903   -8444  -32228   35054
  -75.000   25.000  -41.66  -67.23   13740   10266   -9133  -32728   35496
  -75.000   30.000  -45.62  -67.67   13676    9566   -9774  -33294   35994
  -75.000   35.000  -49.63  -68.17   13592    8803  -10356  -33924   36545
  -75.000   40.000  -53.71  -68.71   13484    7982  -10868  -34612   37146
  -75.000   45.000  -57.83  -69.32   13348    7107  -11299  -35356   37791
  -75.000   50.000  -62.01  -69.97   13178    6185  -11636  -36148   38475
  -75.000   55.000  -66.24  -70.67   12970    5226  -11871  -36981   39189
  -75.000   60.000  -70.53  -71.42   12723    4240  -11995  -37847   39928
  -75.000   65.000  -74.89  -72.21   12432    3240  -12002  -38736   40682
  -75.000   70.000  -79.34  -73.03   12096    2238  -11888  -39638   41443
  -75.000   75.000  -83.88  -73.88   11716    1249  -11650  -40543   42202
  -75.000   80.000  -88.55  -74.76   11292     286  -11289  -41440   42951
  -75.000   85.000  -93.37  -75.65   10827    -636  -10808  -42318   43681
  -75.000   90.000  -98.38  -76.55   10324   -1505  -10214  -43167   44384
  -75.000   95.000 -103.64  -77.45    9789   -2308   -9513  -43976   45052
  -75.000  100.000 -109.20  -78.34    9229   -3035   -8715  -44737   45679
  -75.000  105.000 -115.15  -79.22    8652   -3677   -7832  -45440   46257
  -75.000  110.000 -121.56  -80.06    8072   -4225   -6877  -46079   46781
  -75.000  115.000 -128.56  -80.87    7499   -4675   -5864  -46649   47248
  -75.000  120.000 -136.27  -81.61    6952   -5023   -4806  -47143   47653
  -75.000  125.000 -144.79  -82.28    6448   -5269   -3718  -47560   47995
  -75.000  130.000 -154.21  -82.85    6009   -5411   -2614  -47897   48272
  -75.000  135.000 -164.54  -83.30    5658   -5453   -1508  -48153   48485
  -75.000  140.000 -175.65  -83.61    5414   -5398    -411  -48331   48633
  -75.000  145.000  172.78  -83.76    5294   -5252     665  -48430   48719
  -75.000  150.000  161.18  -83.75    5303   -5020    1711  -48454   48744
  -75.000  155.000  150.01  -83.59    5436   -4708    2718  -48406   48711
  -75.000  160.000  139.62  -83.29    5677   -4324    3678  -48290   48623
  -75.000  165.000  130.19  -82.88    6006   -3876    4588  -48109   48483
  -75.000  170.000  121.76  -82.38    6400   -3369    5442  -47868   48294
  -75.000  175.000  114.26  -81.82    6841   -2811    6237  -47571   48060
  -75.000  180.000  107.57  -81.20    7314   -2208    6972  -47221   47784
  -75.000  185.000  101.58  -80.54    7804   -1567    7645  -46823   47469
  -75.000  190.000   96.16  -79.85    8304    -892    8256  -46380   47118
  -75.000  195.000   91.22  -79.14    8806    -188    8804  -45896   46733
  -75.000  200.000   86.67  -78.41    9305     541    9289  -45373   46317
  -75.000  205.000   82.43  -77.67    9796    1291    9711  -44814   45872
  -75.000  210.000   78.44  -76.92   10277    2060   10068  -44221   45400
  -75.000  215.000   74.65  -76.16   10744    2843   10360  -43599   44903
  -75.000  220.000   71.03  -75.39   11194    3640   10586  -42948   44383
  -75.000  225.000   67.52  -74.62   11627    4445   10744  -42273   43843
  -75.000  230.000   64.11  -73.85   12039    5257   10830  -41577   43285
  -75.000  235.000   60.76  -73.09   12427    6070   10844  -40863   42711
  -75.000  240.000   57.46  -72.33   12789    6880   10781  -40136   42124
  -75.000  245.000   54.17  -71.58   13124    7681   10641  -39400   41529
  -75.000  250.000   50.90  -70.85   13428    8468   10421  -38662   40927
  -75.000  255.000   47.63  -70.14   13699    9231   10122  -37926   40324
  -75.000  260.000   44.35  -69.46   13936    9965    9743  -37198   39723
  -75.000  265.000   41.06  -68.82   14139   10661    9287  -36486   39130
  -75.000  270.000   37.76  -68.22   14305   11310    8759  -35795   38548
  -75.000  275.000   34.43  -67.66   14437   11907    8164  -35132   37982
  -75.000  280.000   31.10  -67.16   14534   12444    7507  -34501   37437
  -75.000  285.000   27.76  -66.71   14598   12918    6799  -33908   36917
  -75.000  290.000   24.41  -66.32   14632   13324    6048  -33357   36425
  -75.000  295.000   21.07  -65.98   14639   13660    5263  -32851   35965
  -75.000  300.000   17.73  -65.70   14622   13928    4452  -32393   35540
  -75.000  305.000   14.39  -65.48   14586   14129    3626  -31983   35152
  -75.000  310.000   11.07  -65.32   14535   14265    2790  -31624   34804
  -75.000  315.000    7.75  -65.20   14473   14341    1951  -31315   34498
  -75.000  320.000    4.43  -65.12   14403   14360    1113  -31057   34234
  -75.000  325.000    1.12  -65.08   14331   14328     279  -30850   34016
  -75.000  330.000   -2.21  -65.08   14258   14248    -549  -30694   33844
  -75.000  335.000   -5.55  -65.12   14189   14122   -1372  -30589   33720
  -75.000  340.000   -8.91  -65.18   14124   13954   -2189  -30537   33645
  -75.000  345.000  -12.32  -65.27   14066   13742   -3001  -30539   33623
  -75.000  350.000  -15.77  -65.39   14015   13488   -3808  -30597   33654
